"filename", "language", "JavaScript React", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\Emerald\src\PagesNavigator.jsx", "JavaScript React", 72, 0, 0, 0, 0, 9, 81
"c:\Users\User\Desktop\Emerald\src\components\CategoryList.jsx", "JavaScript React", 85, 0, 0, 0, 0, 11, 96
"c:\Users\User\Desktop\Emerald\src\components\Dialogs\DeleteAllDialog.jsx", "JavaScript React", 145, 0, 0, 0, 0, 20, 165
"c:\Users\User\Desktop\Emerald\src\components\Dialogs\ProductAddDialog.jsx", "JavaScript React", 64, 0, 0, 0, 5, 10, 79
"c:\Users\User\Desktop\Emerald\src\components\Dialogs\ProductWishlistDialog.jsx", "JavaScript React", 86, 0, 0, 0, 1, 12, 99
"c:\Users\User\Desktop\Emerald\src\components\Dialogs\PurchaseDialog.jsx", "JavaScript React", 222, 0, 0, 0, 1, 28, 251
"c:\Users\User\Desktop\Emerald\src\components\HomeMainContent.jsx", "JavaScript React", 290, 0, 0, 0, 1, 37, 328
"c:\Users\User\Desktop\Emerald\src\components\Layouts\ActionsDialog.jsx", "JavaScript React", 103, 0, 0, 0, 6, 15, 124
"c:\Users\User\Desktop\Emerald\src\components\Layouts\AllProducts.jsx", "JavaScript React", 83, 0, 0, 0, 0, 9, 92
"c:\Users\User\Desktop\Emerald\src\components\Layouts\InfoDialog.jsx", "JavaScript React", 177, 0, 0, 0, 2, 26, 205
"c:\Users\User\Desktop\Emerald\src\components\Layouts\IsEmptyCartPage.jsx", "JavaScript React", 208, 0, 0, 0, 8, 23, 239
"c:\Users\User\Desktop\Emerald\src\components\Layouts\Layout.jsx", "JavaScript React", 12, 0, 0, 0, 0, 2, 14
"c:\Users\User\Desktop\Emerald\src\components\Layouts\Product_list.jsx", "JavaScript React", 384, 0, 0, 0, 3, 56, 443
"c:\Users\User\Desktop\Emerald\src\components\Layouts\Snackbar.jsx", "JavaScript React", 95, 0, 0, 0, 7, 15, 117
"c:\Users\User\Desktop\Emerald\src\components\Product.jsx", "JavaScript React", 244, 0, 0, 0, 7, 47, 298
"c:\Users\User\Desktop\Emerald\src\components\Slider.jsx", "JavaScript React", 207, 0, 0, 0, 4, 26, 237
"c:\Users\User\Desktop\Emerald\src\components\all-products-page\ProductsMainContent.jsx", "JavaScript React", 87, 0, 0, 0, 0, 11, 98
"c:\Users\User\Desktop\Emerald\src\components\cart-pages\CartDetails.jsx", "JavaScript React", 302, 0, 0, 0, 0, 27, 329
"c:\Users\User\Desktop\Emerald\src\components\cart-pages\WishlistDetails.jsx", "JavaScript React", 142, 0, 0, 0, 2, 11, 155
"c:\Users\User\Desktop\Emerald\src\components\context\ContextSetup.js", "JavaScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\User\Desktop\Emerald\src\components\global\Footer.jsx", "JavaScript React", 356, 0, 0, 0, 0, 33, 389
"c:\Users\User\Desktop\Emerald\src\components\global\Navbar.jsx", "JavaScript React", 456, 0, 0, 0, 4, 52, 512
"c:\Users\User\Desktop\Emerald\src\components\product-detail-page\GenerateRandomRatings.js", "JavaScript", 0, 34, 0, 0, 0, 1, 35
